0.0872665 -0.419555
0.261799 -0.431345
0.436332 -0.314013
0.610865 -0.278852
0.785398 -0.145532
0.959931 -0.108872
1.13446 -0.329742
1.309 -0.190072
1.48353 -0.0422837
1.65806 0.331093
1.8326 0.578238
2.00713 0.190178
2.18166 0.328085
2.35619 0.431097
2.53073 0.285496
2.70526 0.52569
2.87979 0.259787
3.05433 0.56754
3.22886 0.346723
3.40339 0.711268
3.57792 0.306255
3.75246 0.435817
3.92699 0.325773
4.10152 0.281552
4.27606 0.0822417
4.45059 0.120437
4.62512 -0.148247
4.79966 -0.166221
4.97419 -0.00470166
5.14872 -0.223498
5.32325 -0.110552
5.49779 -0.433263
5.67232 -0.441968
5.84685 -0.354819
6.02139 -0.513432
6.19592 -0.370905
