0.0872665 -0.863829
0.261799 -0.791619
0.436332 -0.66881
0.610865 -0.409709
0.785398 -0.272641
0.959931 -0.136716
1.13446 0.0397819
1.309 0.118639
1.48353 0.279507
1.65806 0.438718
1.8326 0.608866
2.00713 0.771446
2.18166 0.789806
2.35619 0.934809
2.53073 0.968335
2.70526 0.955503
2.87979 0.938353
3.05433 0.891021
3.22886 0.830038
3.40339 0.802292
3.57792 0.710145
3.75246 0.592161
3.92699 0.495351
4.10152 0.380677
4.27606 0.0749444
4.45059 -0.105106
4.62512 -0.25192
4.79966 -0.34827
4.97419 -0.407354
5.14872 -0.542445
5.32325 -0.732721
5.49779 -0.785372
5.67232 -0.890406
5.84685 -0.964064
6.02139 -0.970154
6.19592 -0.946468
