0.0872665 0.19461
0.261799 0.328932
0.436332 0.620414
0.610865 0.364319
0.785398 0.654983
0.959931 0.71265
1.13446 0.843959
1.309 0.840224
1.48353 0.948304
1.65806 0.92422
1.8326 0.910522
2.00713 0.815206
2.18166 0.770121
2.35619 0.665524
2.53073 0.401228
2.70526 0.436836
2.87979 0.226019
3.05433 0.0816964
3.22886 -0.199401
3.40339 -0.165212
3.57792 -0.520274
3.75246 -0.454133
3.92699 -0.659389
4.10152 -0.785603
4.27606 -0.912947
4.45059 -0.871496
4.62512 -0.941932
4.79966 -0.932801
4.97419 -0.953633
5.14872 -0.803287
5.32325 -0.73267
5.49779 -0.566853
5.67232 -0.454171
5.84685 -0.521057
6.02139 -0.251489
6.19592 -0.0980476
