# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
847000.000000 0.072147 0.228731 0.065412 0.161741
854000.000000 0.071287 0.207165 0.064703 0.161163
861000.000000 0.067700 0.212249 0.058053 0.158845
868000.000000 0.069830 0.223293 0.060634 0.155405
875000.000000 0.071366 0.216982 0.061730 0.164279
882000.000000 0.070720 0.209836 0.061441 0.164449
889000.000000 0.068611 0.214367 0.059680 0.160906
896000.000000 0.070193 0.215736 0.062140 0.161101
903000.000000 0.068841 0.212290 0.061332 0.158784
910000.000000 0.069110 0.210773 0.062828 0.155500
917000.000000 0.073317 0.204149 0.068244 0.150157
924000.000000 0.070067 0.219990 0.068735 0.164326
931000.000000 0.070763 0.203511 0.063187 0.153325
938000.000000 0.070816 0.209565 0.069546 0.160244
945000.000000 0.070875 0.228659 0.065364 0.162652
952000.000000 0.064138 0.204148 0.055732 0.159176
959000.000000 0.071755 0.215788 0.061515 0.157325
966000.000000 0.072140 0.211282 0.065104 0.159424
973000.000000 0.069617 0.212259 0.064530 0.164052
980000.000000 0.069422 0.210235 0.065294 0.153080
987000.000000 0.066589 0.199283 0.060281 0.153895
994000.000000 0.062662 0.204989 0.058832 0.155144
1001000.000000 0.071750 0.210516 0.061655 0.153224
1008000.000000 0.067657 0.216418 0.058969 0.159763
1015000.000000 0.066480 0.206722 0.059863 0.153310
1022000.000000 0.074242 0.212714 0.067030 0.156793
1029000.000000 0.071598 0.206328 0.061978 0.150414
1036000.000000 0.069298 0.202250 0.061322 0.147376
1043000.000000 0.069302 0.214228 0.055787 0.161621
1050000.000000 0.072525 0.209922 0.061290 0.150566
1057000.000000 0.072012 0.210736 0.064636 0.160397
1064000.000000 0.070825 0.219420 0.061243 0.159711
1071000.000000 0.072391 0.214327 0.062664 0.146676
1078000.000000 0.068817 0.219622 0.062227 0.159320
1085000.000000 0.067836 0.209793 0.056512 0.160517
1092000.000000 0.072351 0.205722 0.061801 0.153522
1099000.000000 0.079947 0.214666 0.075227 0.159116
1106000.000000 0.068257 0.210337 0.061830 0.152441
1113000.000000 0.071326 0.215254 0.063567 0.155323
1120000.000000 0.077108 0.217786 0.068884 0.158900
1127000.000000 0.071900 0.206880 0.067274 0.152478
1134000.000000 0.074514 0.217302 0.065720 0.156401
1141000.000000 0.081145 0.217931 0.074367 0.163385
1148000.000000 0.070562 0.213555 0.060584 0.154647
1155000.000000 0.074567 0.212733 0.069231 0.157288
1162000.000000 0.076465 0.215588 0.072041 0.152369
1169000.000000 0.072759 0.217353 0.070423 0.162428
1176000.000000 0.069594 0.215757 0.064814 0.156290
1183000.000000 0.073035 0.205321 0.063605 0.153676
1190000.000000 0.067516 0.211261 0.059788 0.161415
1197000.000000 0.069466 0.200363 0.064429 0.151758
1204000.000000 0.072798 0.205268 0.067964 0.157850
1211000.000000 0.074045 0.205258 0.067562 0.151769
1218000.000000 0.072201 0.211033 0.065153 0.160879
1225000.000000 0.069974 0.211214 0.061410 0.161614
1232000.000000 0.073527 0.229124 0.066159 0.159761
1239000.000000 0.076240 0.217204 0.069161 0.159297
1246000.000000 0.075425 0.220955 0.061787 0.157984
1253000.000000 0.073619 0.217483 0.067640 0.156301
1260000.000000 0.074990 0.209455 0.069578 0.149855
1267000.000000 0.074306 0.210370 0.065780 0.150160
1274000.000000 0.072249 0.211391 0.064613 0.157844
