# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
605000.000000 0.052798 0.204508 0.051558 0.157032
610000.000000 0.054323 0.208643 0.048930 0.148199
615000.000000 0.055141 0.216047 0.052305 0.158518
620000.000000 0.054501 0.207663 0.051827 0.150650
625000.000000 0.054327 0.213976 0.049523 0.153837
630000.000000 0.053817 0.219564 0.053221 0.152992
635000.000000 0.058375 0.199055 0.056435 0.152274
640000.000000 0.056364 0.202682 0.056320 0.149466
645000.000000 0.059662 0.203483 0.060041 0.156238
650000.000000 0.058164 0.207414 0.052876 0.157667
655000.000000 0.057147 0.214475 0.052323 0.157560
660000.000000 0.057928 0.213985 0.054276 0.154402
665000.000000 0.056911 0.203358 0.053121 0.146896
670000.000000 0.057241 0.220750 0.058315 0.166894
675000.000000 0.054663 0.215963 0.051802 0.159003
680000.000000 0.053675 0.214489 0.051877 0.157758
685000.000000 0.055915 0.214192 0.055693 0.155702
690000.000000 0.054458 0.223047 0.053203 0.165073
695000.000000 0.053708 0.205731 0.051710 0.150574
700000.000000 0.058292 0.210484 0.054723 0.162688
705000.000000 0.059715 0.210957 0.050347 0.148977
710000.000000 0.054362 0.201321 0.055500 0.151711
715000.000000 0.059678 0.211690 0.058859 0.155647
720000.000000 0.056745 0.227759 0.053243 0.161249
725000.000000 0.056923 0.210497 0.052621 0.153869
730000.000000 0.057043 0.210040 0.048339 0.144555
735000.000000 0.053672 0.213074 0.052907 0.163759
740000.000000 0.058514 0.229730 0.053599 0.161181
745000.000000 0.057178 0.213137 0.055042 0.154373
750000.000000 0.053028 0.210833 0.049480 0.155215
755000.000000 0.052616 0.213728 0.048859 0.151513
760000.000000 0.052216 0.209629 0.048271 0.151609
765000.000000 0.053490 0.208699 0.049089 0.156792
770000.000000 0.056239 0.215030 0.052039 0.160615
775000.000000 0.053902 0.213607 0.052138 0.157076
780000.000000 0.059782 0.214814 0.054503 0.167016
785000.000000 0.057105 0.204734 0.051912 0.150927
790000.000000 0.056167 0.203099 0.052401 0.152661
795000.000000 0.055444 0.217745 0.053985 0.153510
800000.000000 0.053578 0.207936 0.051280 0.157925
805000.000000 0.052158 0.211911 0.052798 0.155009
810000.000000 0.053014 0.204425 0.054284 0.155964
815000.000000 0.053748 0.209096 0.049466 0.155509
820000.000000 0.051273 0.204843 0.046379 0.150188
825000.000000 0.051691 0.202230 0.047163 0.149997
830000.000000 0.052755 0.217091 0.046568 0.154849
835000.000000 0.054669 0.213518 0.049517 0.155807
840000.000000 0.055421 0.201825 0.054161 0.153144
845000.000000 0.061259 0.213378 0.055145 0.154150
850000.000000 0.058123 0.216785 0.052846 0.157146
855000.000000 0.057499 0.215381 0.055749 0.152417
860000.000000 0.056877 0.225483 0.055773 0.160905
865000.000000 0.057679 0.216755 0.056795 0.162412
870000.000000 0.058767 0.207326 0.059627 0.148979
875000.000000 0.059606 0.198305 0.058505 0.149235
880000.000000 0.058109 0.197125 0.057748 0.157348
885000.000000 0.056407 0.206266 0.054393 0.156549
890000.000000 0.058319 0.197379 0.055886 0.149638
895000.000000 0.056026 0.209979 0.052501 0.154418
900000.000000 0.056359 0.213692 0.049929 0.159913
905000.000000 0.054638 0.214164 0.052980 0.162684
910000.000000 0.057185 0.213318 0.057262 0.153380
915000.000000 0.060590 0.215493 0.059243 0.157760
920000.000000 0.058752 0.206844 0.055831 0.153017
925000.000000 0.058729 0.219562 0.056158 0.156268
930000.000000 0.057229 0.206602 0.051838 0.153351
935000.000000 0.061841 0.217965 0.061010 0.166616
940000.000000 0.055394 0.213253 0.050240 0.158277
945000.000000 0.056437 0.207560 0.053009 0.157503
950000.000000 0.058332 0.209685 0.053421 0.150934
955000.000000 0.059463 0.208638 0.055978 0.160073
960000.000000 0.059615 0.218030 0.057700 0.155681
965000.000000 0.063114 0.222215 0.058426 0.164800
970000.000000 0.063748 0.214138 0.060257 0.153646
975000.000000 0.057963 0.222099 0.055832 0.156067
980000.000000 0.058184 0.214427 0.053917 0.160629
985000.000000 0.065866 0.206269 0.062575 0.151284
990000.000000 0.055997 0.210354 0.059039 0.154060
995000.000000 0.055847 0.209765 0.052726 0.153178
1000000.000000 0.055957 0.210501 0.051749 0.157995
1005000.000000 0.056736 0.213713 0.047658 0.155421
1010000.000000 0.061551 0.206956 0.059798 0.154419
1015000.000000 0.064208 0.215366 0.059493 0.157973
1020000.000000 0.062390 0.204951 0.061090 0.152306
1025000.000000 0.064387 0.229347 0.058783 0.169040
1030000.000000 0.058047 0.210703 0.054495 0.153364
1035000.000000 0.057837 0.203868 0.054537 0.156339
1040000.000000 0.058647 0.210267 0.051461 0.160208
1045000.000000 0.061133 0.219460 0.062320 0.156023
1050000.000000 0.063242 0.210194 0.059000 0.146602
1055000.000000 0.061958 0.206106 0.053772 0.149041
1060000.000000 0.062860 0.211833 0.060869 0.146329
1065000.000000 0.062914 0.220528 0.062144 0.158683
1070000.000000 0.061913 0.203700 0.058734 0.148622
1075000.000000 0.062473 0.205378 0.055507 0.153507
1080000.000000 0.062207 0.207248 0.056078 0.152413
1085000.000000 0.062662 0.200417 0.062492 0.145179
1090000.000000 0.062032 0.213054 0.057118 0.156460
1095000.000000 0.061586 0.212245 0.058981 0.152652
1100000.000000 0.060885 0.212289 0.057940 0.153551
1105000.000000 0.062209 0.211812 0.052958 0.155415
1110000.000000 0.064579 0.220492 0.061547 0.155084
1115000.000000 0.068682 0.216174 0.065522 0.158547
1120000.000000 0.062666 0.205342 0.056190 0.151452
1125000.000000 0.062896 0.208797 0.056967 0.153295
1130000.000000 0.063459 0.196486 0.060327 0.151164
1135000.000000 0.059318 0.215528 0.059746 0.145657
1140000.000000 0.060026 0.212480 0.056750 0.149446
1145000.000000 0.059678 0.217602 0.054874 0.156062
1150000.000000 0.059047 0.200457 0.055457 0.155136
1155000.000000 0.058785 0.215574 0.056676 0.158706
1160000.000000 0.058684 0.215829 0.060204 0.155659
1165000.000000 0.062083 0.213941 0.061797 0.155899
1170000.000000 0.065962 0.212617 0.064940 0.147801
1175000.000000 0.064518 0.220351 0.064411 0.162586
1180000.000000 0.063477 0.209272 0.057135 0.155023
1185000.000000 0.061636 0.219969 0.056080 0.161016
1190000.000000 0.063303 0.218972 0.058629 0.155472
1195000.000000 0.060192 0.210154 0.057169 0.157089
1200000.000000 0.060263 0.200544 0.055303 0.154022
1205000.000000 0.059096 0.204964 0.057539 0.146296
1210000.000000 0.064438 0.208503 0.059937 0.149295
1215000.000000 0.056194 0.208496 0.053305 0.152538
1220000.000000 0.064814 0.216564 0.061175 0.152936
1225000.000000 0.064283 0.207157 0.060162 0.158461
1230000.000000 0.054779 0.202117 0.051024 0.150321
1235000.000000 0.058633 0.202838 0.058256 0.150911
1240000.000000 0.059938 0.208814 0.057311 0.151872
1245000.000000 0.057204 0.210930 0.053025 0.158666
1250000.000000 0.059202 0.216284 0.054269 0.152024
1255000.000000 0.062054 0.214962 0.061824 0.153302
1260000.000000 0.062929 0.215892 0.058986 0.153889
1265000.000000 0.062153 0.206266 0.059885 0.146526
1270000.000000 0.060325 0.200038 0.051143 0.149994
1275000.000000 0.065787 0.221883 0.062332 0.164268
1280000.000000 0.066879 0.204187 0.062627 0.154417
1285000.000000 0.058298 0.211908 0.048788 0.157164
1290000.000000 0.059469 0.219021 0.050765 0.157517
1295000.000000 0.054694 0.214137 0.046757 0.154655
1300000.000000 0.062418 0.226523 0.058018 0.164787
1305000.000000 0.057969 0.208789 0.054926 0.148363
1310000.000000 0.061376 0.215125 0.058928 0.155026
1315000.000000 0.062574 0.204489 0.058294 0.149816
1320000.000000 0.063627 0.217403 0.061501 0.156485
1325000.000000 0.064206 0.205539 0.057671 0.151022
1330000.000000 0.063780 0.210138 0.060547 0.153243
1335000.000000 0.062888 0.205557 0.061322 0.150271
1340000.000000 0.062177 0.216766 0.057992 0.156547
1345000.000000 0.068148 0.217652 0.058126 0.159287
1350000.000000 0.067686 0.204430 0.062760 0.152927
1355000.000000 0.069074 0.223126 0.065238 0.162528
1360000.000000 0.062553 0.215092 0.059366 0.156384
1365000.000000 0.060803 0.201630 0.055037 0.151466
1370000.000000 0.062754 0.206056 0.059985 0.150648
1375000.000000 0.062132 0.218466 0.056224 0.161520
1380000.000000 0.059561 0.212770 0.055786 0.150499
1385000.000000 0.060115 0.219916 0.052450 0.163142
1390000.000000 0.059568 0.215445 0.054646 0.152216
1395000.000000 0.058059 0.216520 0.057769 0.159878
1400000.000000 0.060231 0.214934 0.053815 0.158070
1405000.000000 0.062132 0.217237 0.057285 0.152955
