0.0872665 -0.540296
0.261799 -0.560138
0.436332 -0.569789
0.610865 -0.618979
0.785398 -0.649686
0.959931 -0.572675
1.13446 -0.499525
1.309 -0.362398
1.48353 -0.219354
1.65806 -0.086573
1.8326 0.0662312
2.00713 0.14244
2.18166 0.288859
2.35619 0.317941
2.53073 0.362107
2.70526 0.39356
2.87979 0.407721
3.05433 0.382718
3.22886 0.45952
3.40339 0.410635
3.57792 0.383012
3.75246 0.357601
3.92699 0.265001
4.10152 0.218365
4.27606 0.18005
4.45059 0.0747265
4.62512 -0.0971682
4.79966 -0.176394
4.97419 -0.2156
5.14872 -0.290134
5.32325 -0.356477
5.49779 -0.406363
5.67232 -0.494828
5.84685 -0.494748
6.02139 -0.536187
6.19592 -0.575717
