0.0872665 0.250295
0.261799 0.297211
0.436332 0.319859
0.610865 0.417482
0.785398 0.479464
0.959931 0.574669
1.13446 0.617688
1.309 0.652481
1.48353 0.652401
1.65806 0.708535
1.8326 0.731423
2.00713 0.737263
2.18166 0.777464
2.35619 0.759492
2.53073 0.710033
2.70526 0.647943
2.87979 0.624966
3.05433 0.640154
3.22886 0.64992
3.40339 0.592186
3.57792 0.571934
3.75246 0.536121
3.92699 0.55122
4.10152 0.52395
4.27606 0.48163
4.45059 0.445758
4.62512 0.408275
4.79966 0.413903
4.97419 0.391851
5.14872 0.396839
5.32325 0.377625
5.49779 0.382787
5.67232 0.347484
5.84685 0.2694
6.02139 0.31144
6.19592 0.281255
