0.0872665 0.825345
0.261799 0.864305
0.436332 0.912644
0.610865 0.918651
0.785398 0.945382
0.959931 0.971008
1.13446 0.932947
1.309 0.946167
1.48353 0.935403
1.65806 0.945289
1.8326 0.960993
2.00713 0.935995
2.18166 0.929378
2.35619 0.901952
2.53073 0.931525
2.70526 0.927673
2.87979 0.928356
3.05433 0.926152
3.22886 0.905749
3.40339 0.886314
3.57792 0.873751
3.75246 0.846061
3.92699 0.802814
4.10152 0.753235
4.27606 0.743778
4.45059 0.717095
4.62512 0.669773
4.79966 0.696198
4.97419 0.740173
5.14872 0.692729
5.32325 0.733692
5.49779 0.712205
5.67232 0.746956
5.84685 0.788012
6.02139 0.772923
6.19592 0.793312
